2025-08-22 14:06:37.870 | INFO     | __main__:main:21 - 正在启动碳排放AI分析服务...
2025-08-22 14:06:37.872 | INFO     | __main__:main:27 - 确保目录存在: logs
2025-08-22 14:06:37.872 | INFO     | __main__:main:27 - 确保目录存在: data
2025-08-22 14:06:37.872 | INFO     | __main__:main:27 - 确保目录存在: models
2025-08-22 14:06:37.873 | INFO     | __main__:main:27 - 确保目录存在: maps
2025-08-22 14:06:37.873 | INFO     | __main__:main:27 - 确保目录存在: templates
2025-08-22 14:06:40.791 | INFO     | __main__:main:35 - 所有依赖包检查通过
2025-08-22 14:57:14.026 | INFO     | __main__:main:21 - 正在启动碳排放AI分析服务...
2025-08-22 14:57:14.027 | INFO     | __main__:main:27 - 确保目录存在: logs
2025-08-22 14:57:14.028 | INFO     | __main__:main:27 - 确保目录存在: data
2025-08-22 14:57:14.028 | INFO     | __main__:main:27 - 确保目录存在: models
2025-08-22 14:57:14.028 | INFO     | __main__:main:27 - 确保目录存在: maps
2025-08-22 14:57:14.029 | INFO     | __main__:main:27 - 确保目录存在: templates
2025-08-22 14:57:16.843 | INFO     | __main__:main:35 - 所有依赖包检查通过
2025-08-22 18:27:21.137 | INFO     | __main__:main:21 - 正在启动碳排放AI分析服务...
2025-08-22 18:27:21.139 | INFO     | __main__:main:27 - 确保目录存在: logs
2025-08-22 18:27:21.139 | INFO     | __main__:main:27 - 确保目录存在: data
2025-08-22 18:27:21.139 | INFO     | __main__:main:27 - 确保目录存在: models
2025-08-22 18:27:21.140 | INFO     | __main__:main:27 - 确保目录存在: maps
2025-08-22 18:27:21.140 | INFO     | __main__:main:27 - 确保目录存在: templates
2025-08-22 18:27:23.941 | INFO     | __main__:main:35 - 所有依赖包检查通过
2025-08-22 18:54:52.353 | INFO     | __main__:main:21 - 正在启动碳排放AI分析服务...
2025-08-22 18:54:52.354 | INFO     | __main__:main:27 - 确保目录存在: logs
2025-08-22 18:54:52.355 | INFO     | __main__:main:27 - 确保目录存在: data
2025-08-22 18:54:52.355 | INFO     | __main__:main:27 - 确保目录存在: models
2025-08-22 18:54:52.356 | INFO     | __main__:main:27 - 确保目录存在: maps
2025-08-22 18:54:52.356 | INFO     | __main__:main:27 - 确保目录存在: templates
2025-08-22 18:54:55.075 | INFO     | __main__:main:35 - 所有依赖包检查通过
2025-08-22 19:12:51.733 | INFO     | __main__:main:21 - 正在启动碳排放AI分析服务...
2025-08-22 19:12:51.734 | INFO     | __main__:main:27 - 确保目录存在: logs
2025-08-22 19:12:51.735 | INFO     | __main__:main:27 - 确保目录存在: data
2025-08-22 19:12:51.735 | INFO     | __main__:main:27 - 确保目录存在: models
2025-08-22 19:12:51.735 | INFO     | __main__:main:27 - 确保目录存在: maps
2025-08-22 19:12:51.736 | INFO     | __main__:main:27 - 确保目录存在: templates
2025-08-22 19:12:54.796 | INFO     | __main__:main:35 - 所有依赖包检查通过
