日期,地区,NDVI,地表温度(摄氏度),碳通量(吨/公顷),植被类型,空间分辨率,云覆盖率(%),数据质量,传感器类型
2024-01-01,华北,0.65,18.5,2.3,森林,1km,15,高,MODIS
2024-01-01,华东,0.58,22.1,1.8,农田,1km,20,高,MODIS
2024-01-01,华南,0.72,25.6,3.1,森林,1km,10,高,MODIS
2024-01-01,华中,0.61,19.8,2.1,农田,1km,18,高,MODIS
2024-01-01,西南,0.68,21.3,2.8,森林,1km,12,高,MODIS
2024-01-01,西北,0.35,12.4,0.8,草地,1km,25,中,MODIS
2024-01-01,东北,0.55,8.9,1.5,森林,1km,22,高,MODIS
2024-01-02,华北,0.66,17.8,2.4,森林,1km,16,高,MODIS
2024-01-02,华东,0.59,21.5,1.9,农田,1km,19,高,MODIS
2024-01-02,华南,0.73,26.1,3.2,森林,1km,11,高,MODIS 
